Pgof,Ped,Cgof_1,Cgof_2,Ced_1,Ced_2,Zgof_1,Zgof_2,Zed_1,Zed_2,n1,n2,n3,rho,X1_p,X2_q
0.04534,0.03333,0.02751,0.08709,0.04573,0.10105,0.06432,0.06303,0.05403,0.05317,10.0,10.0,10.0,0.0,0.3,0.8
0.04612,0.03437,0.02882,0.08541,0.04636,0.10043,0.06565,0.06478,0.05575,0.0539,10.0,10.0,10.0,0.01,0.3,0.8
0.03979,0.03327,0.05759,0.08298,0.04583,0.0985,0.06578,0.06154,0.05545,0.05424,10.0,10.0,10.0,0.02,0.3,0.8
0.04077,0.03527,0.0577,0.08333,0.04524,0.09807,0.06019,0.05143,0.05624,0.05646,10.0,10.0,10.0,0.03,0.3,0.8
0.03988,0.03478,0.0578,0.08284,0.04465,0.09639,0.05775,0.05144,0.05669,0.05451,10.0,10.0,10.0,0.04,0.3,0.8
0.04127,0.03657,0.06613,0.08326,0.04572,0.09746,0.06005,0.07894,0.05789,0.05742,10.0,10.0,10.0,0.05,0.3,0.8
0.03471,0.0364,0.06716,0.09573,0.04474,0.09688,0.05917,0.07726,0.05414,0.05897,10.0,10.0,10.0,0.06,0.3,0.8
0.03422,0.03758,0.06571,0.0967,0.04553,0.09678,0.04895,0.07592,0.05561,0.06031,10.0,10.0,10.0,0.07,0.3,0.8
0.03401,0.0388,0.06559,0.119,0.04657,0.09948,0.0494,0.1036,0.05661,0.06221,10.0,10.0,10.0,0.08,0.3,0.8
0.03127,0.03989,0.06627,0.14365,0.04813,0.09988,0.04834,0.11146,0.05867,0.06311,10.0,10.0,10.0,0.09,0.3,0.8
0.03221,0.04169,0.06494,0.17998,0.04861,0.10107,0.04809,0.11129,0.05976,0.06614,10.0,10.0,10.0,0.1,0.3,0.8
0.03286,0.04286,0.06374,0.16853,0.04922,0.10363,0.04818,0.11141,0.0615,0.0699,10.0,10.0,10.0,0.11,0.3,0.8
0.02639,0.04503,0.06495,0.17038,0.0507,0.10615,0.04806,0.10921,0.06377,0.07013,10.0,10.0,10.0,0.12,0.3,0.8
0.02488,0.04559,0.06059,0.16929,0.05043,0.10779,0.04845,0.1029,0.06479,0.07221,10.0,10.0,10.0,0.13,0.3,0.8
0.02343,0.04762,0.06126,0.23909,0.05038,0.10928,0.05062,0.1342,0.06647,0.07446,10.0,10.0,10.0,0.14,0.3,0.8
0.02166,0.04972,0.0606,0.238,0.0534,0.11238,0.05074,0.13223,0.06963,0.078,10.0,10.0,10.0,0.15,0.3,0.8
0.04155,0.05114,0.06137,0.25039,0.05366,0.11655,0.04907,0.13428,0.07091,0.08107,10.0,10.0,10.0,0.16,0.3,0.8
0.07224,0.05351,0.0628,0.24881,0.05727,0.11965,0.04898,0.19864,0.07467,0.08515,10.0,10.0,10.0,0.17,0.3,0.8
0.07078,0.05617,0.0604,0.24909,0.05668,0.12367,0.04936,0.19428,0.07478,0.08845,10.0,10.0,10.0,0.18,0.3,0.8
0.07131,0.05864,0.06048,0.32038,0.05911,0.12649,0.04928,0.20837,0.07905,0.09132,10.0,10.0,10.0,0.19,0.3,0.8
0.06921,0.06024,0.06043,0.38127,0.05795,0.13114,0.05011,0.22624,0.08045,0.0947,10.0,10.0,10.0,0.2,0.3,0.8
0.06991,0.06455,0.06016,0.38944,0.06083,0.13719,0.05005,0.26017,0.08347,0.10289,10.0,10.0,10.0,0.21,0.3,0.8
0.07062,0.06651,0.06214,0.39269,0.06426,0.141,0.04985,0.2613,0.08759,0.10323,10.0,10.0,10.0,0.22,0.3,0.8
0.06958,0.06797,0.06,0.39258,0.06395,0.14557,0.04955,0.26702,0.08677,0.10677,10.0,10.0,10.0,0.23,0.3,0.8
0.0691,0.07145,0.0583,0.42075,0.06634,0.15257,0.04985,0.2682,0.09005,0.11336,10.0,10.0,10.0,0.24,0.3,0.8
0.06968,0.07571,0.12884,0.42484,0.06918,0.15849,0.04936,0.33968,0.09327,0.11872,10.0,10.0,10.0,0.25,0.3,0.8
0.06956,0.07944,0.12852,0.42817,0.07052,0.16663,0.03938,0.34916,0.09664,0.12583,10.0,10.0,10.0,0.26,0.3,0.8
0.06393,0.08217,0.12869,0.46706,0.07241,0.1712,0.03997,0.3487,0.10079,0.13035,10.0,10.0,10.0,0.27,0.3,0.8
0.06316,0.08624,0.1273,0.46461,0.07378,0.17856,0.04032,0.34951,0.10297,0.13697,10.0,10.0,10.0,0.28,0.3,0.8
0.08248,0.09065,0.1257,0.46749,0.07569,0.18639,0.0409,0.42177,0.10499,0.14045,10.0,10.0,10.0,0.29,0.3,0.8
0.13789,0.09378,0.12726,0.48842,0.07677,0.19362,0.08504,0.47301,0.10724,0.14739,10.0,10.0,10.0,0.3,0.3,0.8
0.13828,0.09871,0.19343,0.54711,0.08186,0.20053,0.1468,0.4749,0.11084,0.15478,10.0,10.0,10.0,0.31,0.3,0.8
0.1383,0.10404,0.18933,0.55143,0.08264,0.21099,0.16173,0.50455,0.10503,0.15894,10.0,10.0,10.0,0.32,0.3,0.8
0.20589,0.1086,0.22711,0.61823,0.08589,0.21975,0.16221,0.53005,0.11144,0.16667,10.0,10.0,10.0,0.33,0.3,0.8
0.20481,0.11279,0.22809,0.68409,0.08616,0.228,0.15869,0.52881,0.11325,0.17323,10.0,10.0,10.0,0.34,0.3,0.8
0.20445,0.11784,0.2519,0.76641,0.08728,0.23805,0.16188,0.60887,0.11484,0.18444,10.0,10.0,10.0,0.35000000000000003,0.3,0.8
0.20485,0.12403,0.25817,0.82835,0.08966,0.24598,0.15601,0.60858,0.11374,0.19117,10.0,10.0,10.0,0.36,0.3,0.8
0.20483,0.12871,0.2612,0.82857,0.09386,0.25884,0.15846,0.6083,0.11558,0.20181,10.0,10.0,10.0,0.37,0.3,0.8
0.203,0.13537,0.2596,0.82743,0.09473,0.26716,0.15808,0.60945,0.11376,0.20966,10.0,10.0,10.0,0.38,0.3,0.8
0.20391,0.14214,0.25958,0.88182,0.09703,0.27959,0.15995,0.68472,0.11626,0.22091,10.0,10.0,10.0,0.39,0.3,0.8
0.02982,0.00983,0.00295,0.01095,0.08518,0.0478,0.02839,0.06534,0.04408,0.04439,10.0,10.0,10.0,0.0,0.1,0.9
0.03066,0.01118,0.00304,0.01089,0.08668,0.05086,0.02932,0.04606,0.03907,0.04452,10.0,10.0,10.0,0.01,0.1,0.9
0.03031,0.01142,0.00343,0.00989,0.08623,0.05208,0.02119,0.0467,0.0408,0.04666,10.0,10.0,10.0,0.02,0.1,0.9
0.02435,0.0126,0.00314,0.01018,0.08886,0.0536,0.02107,0.04582,0.04198,0.04887,10.0,10.0,10.0,0.03,0.1,0.9
0.02397,0.0133,0.00313,0.0058,0.08952,0.0554,0.12984,0.0444,0.04535,0.05323,10.0,10.0,10.0,0.04,0.1,0.9
0.01897,0.01559,0.00331,0.00277,0.09194,0.05762,0.13054,0.0421,0.04743,0.05792,10.0,10.0,10.0,0.05,0.1,0.9
0.01901,0.01604,0.00331,0.00243,0.09423,0.06101,0.13211,0.04191,0.05136,0.06426,10.0,10.0,10.0,0.06,0.1,0.9
0.01635,0.01881,0.00269,0.00234,0.09908,0.06654,0.12679,0.04217,0.05864,0.06063,10.0,10.0,10.0,0.07,0.1,0.9
0.0116,0.02109,0.00203,0.00271,0.10189,0.06998,0.12683,0.04073,0.06179,0.0644,10.0,10.0,10.0,0.08,0.1,0.9
0.01182,0.02375,0.00231,0.00293,0.10662,0.07409,0.12437,0.03853,0.06754,0.06362,10.0,10.0,10.0,0.09,0.1,0.9
0.01203,0.02518,0.00171,0.00317,0.1099,0.07833,0.12612,0.16044,0.07125,0.06661,10.0,10.0,10.0,0.1,0.1,0.9
0.01037,0.02808,0.00143,0.00247,0.11545,0.08458,0.12641,0.16069,0.07784,0.07116,10.0,10.0,10.0,0.11,0.1,0.9
0.01127,0.03059,0.00159,0.00284,0.11938,0.08823,0.1239,0.1583,0.08251,0.07393,10.0,10.0,10.0,0.12,0.1,0.9
0.00995,0.0344,0.00126,0.00269,0.12644,0.09476,0.12287,0.1571,0.09142,0.08297,10.0,10.0,10.0,0.13,0.1,0.9
0.00983,0.03687,0.00109,0.00162,0.13463,0.10104,0.12189,0.1584,0.10036,0.08901,10.0,10.0,10.0,0.14,0.1,0.9
0.00985,0.04159,0.00122,0.0065,0.14121,0.10836,0.1216,0.15458,0.10975,0.09734,10.0,10.0,10.0,0.15,0.1,0.9
0.00918,0.04525,0.00114,0.00543,0.14579,0.11493,0.39138,0.3559,0.11677,0.10447,10.0,10.0,10.0,0.16,0.1,0.9
0.00939,0.04992,0.0013,0.00531,0.15382,0.1233,0.39188,0.35591,0.12018,0.11368,10.0,10.0,10.0,0.17,0.1,0.9
0.00978,0.05472,0.00107,0.0057,0.16503,0.13201,0.3942,0.35862,0.13294,0.12256,10.0,10.0,10.0,0.18,0.1,0.9
0.00914,0.05971,0.00127,0.00546,0.1714,0.14051,0.39049,0.35649,0.14313,0.13176,10.0,10.0,10.0,0.19,0.1,0.9
