Pgof,Ped,Cgof_1,Cgof_2,Ced_1,Ced_2,Zgof_1,Zgof_2,Zed_1,Zed_2,n1,n2,n3,rho,X1_p,X2_q,m
0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1.0,1.0,1.0,0.0,0.3,0.8,10.0
0.2,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.8,25.0
0.2,0.2,0.2,0.3,0.1,0.1,0.3,0.2,0.1,0.1,1.0,1.0,1.0,0.0,0.3,0.8,50.0
0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.8,75.0
0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,0.3,0.8,100.0
0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.8,250.0
0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.8,500.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.8,750.0
0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.8,1000.0
0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,1.0,2.0,2.0,0.0,0.3,0.8,10.0
0.0,0.1,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.1,1.0,2.0,2.0,0.0,0.3,0.8,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.3,0.8,50.0
0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.3,0.8,75.0
0.2,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,1.0,2.0,2.0,0.0,0.3,0.8,100.0
