Pgof,Ped,Cgof_1,Cgof_2,Ced_1,Ced_2,Zgof_1,Zgof_2,Zed_1,Zed_2,n1,n2,n3,rho,X1_p,X2_q,where_p
0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.0,10.0,10.0,10.0,0.0,0.55,0.8,near
0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,10.0,10.0,10.0,0.0,0.56,0.8,near
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.5700000000000001,0.8,near
0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.2,10.0,10.0,10.0,0.0,0.5800000000000001,0.8,near
0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.1,10.0,10.0,10.0,0.0,0.5900000000000001,0.8,near
0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.2,0.3,0.1,10.0,10.0,10.0,0.0,0.6000000000000001,0.8,near
0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,10.0,10.0,10.0,0.0,0.6100000000000001,0.8,near
0.1,0.0,0.3,0.2,0.0,0.1,0.2,0.4,0.0,0.0,10.0,10.0,10.0,0.0,0.6200000000000001,0.8,near
0.2,0.0,0.0,0.1,0.2,0.3,0.0,0.2,0.2,0.1,10.0,10.0,10.0,0.0,0.6300000000000001,0.8,near
0.1,0.0,0.1,0.4,0.0,0.0,0.1,0.2,0.0,0.1,10.0,10.0,10.0,0.0,0.6400000000000001,0.8,near
0.1,0.0,0.3,0.3,0.1,0.1,0.2,0.3,0.0,0.2,10.0,10.0,10.0,0.0,0.6500000000000001,0.8,near
0.0,0.1,0.1,0.3,0.1,0.1,0.1,0.0,0.1,0.3,10.0,10.0,10.0,0.0,0.6600000000000001,0.8,near
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.0,10.0,10.0,0.0,0.6700000000000002,0.8,near
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.0,10.0,10.0,0.0,0.6800000000000002,0.8,near
0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.1,10.0,10.0,10.0,0.0,0.6900000000000002,0.8,near
0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,10.0,10.0,10.0,0.0,0.7000000000000002,0.8,near
0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.4,0.1,0.1,10.0,10.0,10.0,0.0,0.7100000000000002,0.8,near
